nome_completo,descricao_curta,setor,subsetor,organizacao,localizacoes,latitude,longitude,endereco_principal,custo_estimado,moeda,custo_original,status_atividade,eh_ppp,tipo_projeto,arranjo_contratual,processo_licitacao,outro_arranjo_contratual,outro_processo_licitacao,GUID
Lotes Nordeste,NE1: BR-101/235/BA/SE Feira de Santana-Aracaju-Itabaiana - 339 km&#10;NE2: BR-101/SE/AL/PE Aracaju-Recife - 482 km&#10;NE3: BR-232/PE Recife-Salgueiro - 508 km&#10;NE4: BR-101/230/PE/PB Recife-João Pessoa-Patos - 410 km&#10;NE5: BR-101/304/116/PB/RN/CE João Pessoa-Natal-Fortaleza - 732 km,Transport,Highway,SEPPI,"Alagoas,Bahia,Ceará,Paraíba,Pernambuco,Rio Grande do Norte,Sergipe",,,"Alagoas,Bahia,Ceará,Paraíba,Pernambuco,Rio Grande do Norte,Sergipe",0.0,BRL,,Project Definition,True,Refurbishment/Replacement,,,,,e7878efe-a724-4965-928d-d0ffbea1929f
"CODEBA e Portos Organizados de Salvador, Aratu-Candeias e Ilhéus",A Definir,Transport,Seaport,SEPPI,Bahia,,,Bahia,140800000.0,BRL,140800000.0 BRL,Project Definition,True,Refurbishment/Replacement,,,,,e7ea53ca-5a51-4387-9719-c02f84feafd2
Leilão de Suprimento aos sistemas Isolados,A Definir,Energy,Other Energy,SEPPI,,,,,0.0,BRL,,Project Definition,True,New,,,,,e7eaec7b-30b7-4f7c-9334-6b4b6ea5df70
Educa&#231;&#227;o Infantil - Munic&#237;pio de Itanha&#233;m (SP),A definir,Social Infrastructure,School,SEPPI,Itanhaém,,,Itanhaém,6785450.0,BRL,6785450.0 BRL,Project Definition,True,New,,,,,e87345f1-cd99-4071-a2e9-74ad1eb36787
Educa&#231;&#227;o Infantil - Munic&#237;pio de Canoas (RS),A definir,Social Infrastructure,School,SEPPI,Canoas,,,Canoas,18186052.5,BRL,18186052.5 BRL,Project Definition,True,New,,,,,eb661cb7-505a-4ab7-abb4-8698785d684b
Instituto Nacional do Câncer - INCA,"Estudos de alternativas de parcerias para adequaç&#245;es das&#160; estruturas atuais, construção, reforma, ampliação das instalaç&#245;es e melhorias da gestão dos serviços do Campus Instituto Nacional de Câncer (INCA/MS), vinculado ao Ministério da Saúde.",Social Infrastructure,Hospital,SEPPI,Rio de Janeiro,,,Rio de Janeiro,0.0,BRL,,Project Definition,True,New,,,,,eb6eb6bd-cdaf-445d-8a4d-2736f7cef193
Saneamento básico - Estado da Paraíba,A Definir,Water & Waste,Water Supply Infrastructure,SEPPI,Paraíba,,,Paraíba,1056000000.0,BRL,1056000000.0 BRL,Project Definition,True,New,,,,,ec44ceb9-823b-427f-bf0e-62f951bd2f83
2º Leilão de Transmissão de Energia 2026,A Definir,Energy,Transmission Line,SEPPI,,,,,0.0,BRL,,Project Definition,True,New,,,,,ecd74fa2-d64d-42ca-bb9a-a6dbe4dbfef5
Educação Infantil - Município do Recife/PE,Projeto de estruturação de PPP de unidades de educação infantil no Município do Recife/PE.,Social Infrastructure,School,SEPPI,Pernambuco; Recife,"{'address': 'Recife, Pernambuco', 'location': {'x': '-34.871176', 'y': '-8.0551894'}, 'score': 100.0, 'attributes': {'ResultID': 2, 'Place_addr': 'Recife, Pernambuco', 'City': 'Recife', 'Subregion': '', 'Region': 'Pernambuco'}}","{'address': 'PE', 'location': {'x': '-37.997678124001', 'y': '-8.325217431166'}, 'score': 100.0, 'attributes': {'ResultID': 1, 'Place_addr': 'Pernambuco', 'City': '', 'Subregion': '', 'Region': 'Pernambuco'}}",Pernambuco,89056000.0,BRL,89056000.0 BRL,Project Definition,True,New,,,,,edd8e91e-71c1-4658-8cb9-9de6cae06522
Manejo Sustent&#225;vel na Flona de Mulata/PA,Concessão florestal para a prática de manejo florestal sustentável voltado &#224; exploração econômica de produtos florestais madeireiros e não madeireiros em Unidades de Manejo Florestal (UMF) na Floresta Nacional de Mulata/PA.,Other,Other,SEPPI,Alenquer; Monte Alegre,"{'address': 'Alenquer, Pará', 'location': {'x': '-54.740772', 'y': '-1.9550054'}, 'score': 100.0, 'attributes': {'ResultID': 1, 'Place_addr': 'Alenquer, Pará', 'City': 'Alenquer', 'Subregion': '', 'Region': 'Pará'}}","{'address': 'Monte Alegre, Pará', 'location': {'x': '-54.080777', 'y': '-1.9962049'}, 'score': 100.0, 'attributes': {'ResultID': 2, 'Place_addr': 'Monte Alegre, Pará', 'City': 'Monte Alegre', 'Subregion': '', 'Region': 'Pará'}}",Alenquer,0.18166,BRL,0.18166 BRL,Project Definition,True,Refurbishment/Replacement,,,,,ee900869-0557-47a0-8fb4-cfe20c03b738
