2026-02-13 11:52:45,271 - ERROR - Erro 500 no projeto a70d583a-fe42-44f1-8637-1ab219889a70
2026-02-13 11:53:46,645 - ERROR - Erro 500 no projeto d71f7fad-3824-411b-9747-35cdb603747e
2026-04-02 10:11:02,400 - ERROR - Erro 500 no projeto e87345f1-cd99-4071-a2e9-74ad1eb36787
2026-04-02 10:11:06,532 - ERROR - Erro 500 no projeto ad90c00e-f42d-4417-b3ee-eba9b77c326a
2026-04-02 10:11:37,041 - ERROR - Erro de requisição para o projeto 43cd2f4b-7147-458d-be96-863ad3d35a00: HTTPSConnectionPool(host='api.sif-source.org', port=443): Read timed out. (read timeout=30)
2026-04-02 10:11:41,876 - ERROR - Erro 500 no projeto d842d6bf-2fd8-4d13-812b-055879f0c7d5

==================================================
Início da execução PROJECT INFO: 2026-04-02 10:13:01
Total de requisições: 278
Threads simultâneas: 15
2026-04-02 10:13:17 - GUID: 62f10672-0b48-4ba1-8259-c6a277974c75 - SUCESSO
2026-04-02 10:13:17 - GUID: 88dce577-04c5-4d26-8aad-a3ec3364ed0a - SUCESSO
2026-04-02 10:13:17 - GUID: 9fadae09-e42b-4d15-9950-23ed0b1736e2 - SUCESSO
2026-04-02 10:13:17 - GUID: 70dce939-642d-4a58-acf4-54f94b9d8a2b - SUCESSO
2026-04-02 10:13:17 - GUID: 84527695-dd24-42bc-a8db-a5e8830a4eaf - SUCESSO
2026-04-02 10:13:17 - GUID: 7a7d47ae-6172-4da4-899d-d40761ca8cc3 - SUCESSO
2026-04-02 10:13:18 - GUID: 464b9e5c-896c-4b9b-a33f-c07e26209911 - SUCESSO
2026-04-02 10:13:21 - GUID: 5834280d-f76d-45c3-9d4b-c223179d9c9e - SUCESSO
2026-04-02 10:13:21 - GUID: 1dc2fb2a-5acf-4492-9b58-0f22eed0256e - SUCESSO
2026-04-02 10:13:21 - GUID: 29e5668e-73a3-4d34-b673-8f0787e5774b - SUCESSO
2026-04-02 10:13:22 - GUID: ec44ceb9-823b-427f-bf0e-62f951bd2f83 - SUCESSO
2026-04-02 10:13:22 - GUID: b3ee4629-b976-4d12-af02-593245102cf7 - SUCESSO
2026-04-02 10:13:22 - GUID: 8c14418c-98ab-45d4-919f-24dddc0be03a - SUCESSO
2026-04-02 10:13:23 - GUID: 63f8f489-8110-45ad-b75d-54b941245c7e - SUCESSO
2026-04-02 10:13:23 - GUID: 8f4f887b-17b2-4624-8026-b795ea62d805 - SUCESSO
2026-04-02 10:13:23 - GUID: c696a4bf-f8eb-486f-9cb5-673629bbbf95 - SUCESSO
2026-04-02 10:13:23 - GUID: 7fa72dfe-7f6b-4e1a-bd47-3b525725246a - SUCESSO
2026-04-02 10:13:23 - GUID: 8d191d82-7d1e-47d9-9f25-a580984292ad - SUCESSO
2026-04-02 10:13:24 - GUID: be0f9e32-9781-4427-9cbf-4323e661ee13 - SUCESSO
2026-04-02 10:13:25 - GUID: 8adf1926-f1f9-493a-b03b-378bd86f260f - FALHA
2026-04-02 10:13:25 - GUID: 6ffaa27b-41f1-49cd-acba-4ade7bbe9f90 - FALHA
2026-04-02 10:13:25 - GUID: 4d24370c-ef9f-4e88-9e39-28c490db2d05 - SUCESSO
2026-04-02 10:13:27 - GUID: 92a752e2-1c91-458a-a88b-a45b49e65dea - SUCESSO
2026-04-02 10:13:27 - GUID: 8d2bfbb1-1ab5-43ec-bcb4-8b45c530455d - SUCESSO
2026-04-02 10:13:27 - GUID: 2b2ceaa5-4d64-4e4b-bd66-2e6eb7004be9 - SUCESSO
2026-04-02 10:13:28 - GUID: 83e93725-6e10-4b73-9d6f-f264d5e8d378 - SUCESSO
2026-04-02 10:13:28 - GUID: f48765da-6eb1-4184-90ca-2f34f9b7db2d - SUCESSO
2026-04-02 10:13:28 - GUID: aff145d8-d9d6-4a40-87a9-0e75318cadf0 - SUCESSO
2026-04-02 10:13:28 - GUID: 715eae06-4ef0-488f-acc4-7e0ba1e1df67 - FALHA
2026-04-02 10:13:28 - GUID: 44cd4078-42b0-4a83-8955-efa31cdb2130 - SUCESSO
2026-04-02 10:13:28 - GUID: bf3ca782-808c-4976-8571-669b139f6eb2 - SUCESSO
2026-04-02 10:13:28 - GUID: 6c193c44-0387-4409-88f7-7434ce1ee7c2 - SUCESSO
2026-04-02 10:13:28 - GUID: d0fe2313-19a2-4a22-be33-08e5166b4403 - SUCESSO
2026-04-02 10:13:28 - GUID: c2c9e296-6790-49b0-bc64-8d22e51de904 - SUCESSO
2026-04-02 10:13:28 - GUID: b86af630-941d-43a4-9f77-8968311982da - SUCESSO
2026-04-02 10:13:28 - GUID: e09fcf6f-2942-4621-b08b-4bde2021ff1a - SUCESSO
2026-04-02 10:13:28 - GUID: 03476266-e9a1-4821-8179-8abd15903f7b - SUCESSO
2026-04-02 10:13:29 - GUID: de84ed77-2133-411e-8a18-7c647c0e999d - SUCESSO
2026-04-02 10:13:29 - GUID: 1244649e-5a92-4d13-b21f-cea81fc2a75f - SUCESSO
2026-04-02 10:13:29 - GUID: 74d5752e-fd5d-4962-a848-b13a8b56bece - SUCESSO
2026-04-02 10:13:29 - GUID: ae374819-5464-4458-b5ce-d44aaefaaedd - SUCESSO
2026-04-02 10:13:29 - GUID: b4515555-143a-46d4-b04b-737132ae83fa - SUCESSO
2026-04-02 10:13:29 - GUID: 76945b95-8813-44c8-9920-f3c0d115665f - SUCESSO
2026-04-02 10:13:29 - GUID: 6b5a70d0-8239-4e4a-9a82-282c5b5b5b6f - SUCESSO
2026-04-02 10:13:29 - GUID: afa5c377-0d31-492c-8ca4-54df7f73c284 - SUCESSO
2026-04-02 10:13:29 - GUID: c9b9363d-d6c8-4e33-8d4b-3f27312a0f37 - SUCESSO
2026-04-02 10:13:29 - GUID: 922178f7-8eac-409a-8320-839133579224 - SUCESSO
2026-04-02 10:13:29 - GUID: b532914d-19ea-473b-bf11-e5ec436ac1f4 - SUCESSO
2026-04-02 10:13:29 - GUID: eb6eb6bd-cdaf-445d-8a4d-2736f7cef193 - SUCESSO
2026-04-02 10:13:29 - GUID: 6537d77d-b6d2-4d8a-9987-b57fb53f2d2d - SUCESSO
2026-04-02 10:13:29 - GUID: 5a877046-b488-496a-870d-60bc12c7a02d - SUCESSO
2026-04-02 10:13:29 - GUID: c3525439-233a-4bd6-988e-f3f5c4f33718 - SUCESSO
2026-04-02 10:13:30 - GUID: 1acf47a4-2d59-47a6-b2ac-390b33984d2f - SUCESSO
2026-04-02 10:13:30 - GUID: 3cde796c-7233-4bb0-aab4-c4a1dc3b178a - SUCESSO
2026-04-02 10:13:30 - GUID: a06011b4-bc21-4fa7-a9e8-48674a98e57a - SUCESSO
2026-04-02 10:13:30 - GUID: 5731cec4-2028-4351-8f6c-23301ef6ba4b - SUCESSO
2026-04-02 10:13:30 - GUID: 6e20e506-c99a-4bee-9575-1ca7a0b35c5c - SUCESSO
2026-04-02 10:13:30 - GUID: 153a704a-193b-4275-be55-14e7f5dfc7f3 - SUCESSO
2026-04-02 10:13:30 - GUID: 80d11795-e92e-4666-95f3-6b92c2a35cb9 - SUCESSO
2026-04-02 10:13:30 - GUID: bb99829c-ee0f-4be9-850e-e6c8a8b9ac3c - SUCESSO
